generation	indiv.index	Mutcount	fitness	zogosity	s	h
100000	3091	8	0.911517	het	-0.990715	0.0203644
100000	3091	8	0.911517	het	-0.0590728	0.324885
100000	3091	8	0.911517	het	-0.0818014	0.396087
100000	3091	8	0.911517	het	-0.00421	0.00205291
100000	3091	8	0.911517	het	-0.00296958	0.0443619
100000	3091	8	0.911517	het	-0.0068731	0.0937361
100000	3211	4	0.978867	het	-0.000467448	0.139968
100000	3211	4	0.978867	het	-0.00309095	0.124517
100000	3211	4	0.978867	het	-0.369158	0.0550952
100000	1833	6	0.972433	het	-0.00383766	0.417132
100000	1833	6	0.972433	het	-0.0748435	0.149099
100000	1833	6	0.972433	het	-0.109142	0.111816
100000	1833	6	0.972433	het	-0.0582464	0.0316704
100000	1833	6	0.972433	het	-0.0068731	0.0937361
100000	3021	6	0.969095	het	-0.933912	0.00266464
100000	3021	6	0.969095	het	-0.00992436	0.468218
100000	3021	6	0.969095	het	-0.124667	0.162298
100000	3254	8	0.959714	het	-0.761908	0.00381962
100000	3254	8	0.959714	het	-0.00981975	0.410026
100000	3254	8	0.959714	het	-0.00616299	0.0813644
100000	3254	8	0.959714	het	-0.192897	0.147677
100000	3254	8	0.959714	het	-0.00334505	0.0565827
100000	3254	8	0.959714	het	-0.0812458	0.0439194
100000	3254	8	0.959714	het	-0.0068731	0.0937361
100000	49	6	0.945912	het	-0.011297	0.152787
100000	49	6	0.945912	het	-0.0620257	0.326922
100000	49	6	0.945912	het	-0.248158	0.00693108
100000	49	6	0.945912	het	-0.077351	0.398397
100000	49	6	0.945912	het	-0.00421	0.00205291
100000	1191	5	0.859329	het	-0.366367	0.327557
100000	1191	5	0.859329	het	-0.000467448	0.139968
100000	1191	5	0.859329	het	-0.00383766	0.417132
100000	1191	5	0.859329	het	-0.0808752	0.265846
100000	985	6	0.956783	het	-0.000467448	0.139968
100000	985	6	0.956783	het	-0.0865332	0.39757
100000	985	6	0.956783	het	-0.0170758	0.293584
100000	985	6	0.956783	het	-0.0139971	0.099128
100000	985	6	0.956783	het	-0.0896535	0.0259561
100000	284	4	0.999178	het	-0.00196631	0.0853275
100000	284	4	0.999178	het	-0.00107595	0.150187
100000	284	4	0.999178	het	-0.00296958	0.0443619
100000	358	6	0.990981	het	-0.0749605	0.0131244
100000	358	6	0.990981	het	-0.00435414	0.345412
100000	358	6	0.990981	het	-0.0186269	0.000719047
100000	358	6	0.990981	het	-0.792573	0.00563278
100000	358	6	0.990981	het	-0.248158	0.00693108
100000	1933	6	0.93054	het	-0.00196631	0.0853275
100000	1933	6	0.93054	het	-0.000467448	0.139968
100000	1933	6	0.93054	het	-0.0170758	0.293584
100000	1933	6	0.93054	het	-0.544662	0.0145382
100000	1933	6	0.93054	het	-0.122971	0.461467
100000	2593	2	0.999512	het	-0.000686853	0.185255
100000	494	8	0.90092	het	-0.404304	0.0696208
100000	494	8	0.90092	het	-0.567278	0.00152428
100000	494	8	0.90092	het	-0.0026701	0.464848
100000	494	8	0.90092	het	-0.961868	0.0348814
100000	494	8	0.90092	het	-0.00296958	0.0443619
100000	494	8	0.90092	het	-0.419003	0.0755412
100000	2796	7	0.990318	het	-0.472201	0.0034459
100000	2796	7	0.990318	het	-0.00309095	0.124517
100000	2796	7	0.990318	het	-0.0170758	0.293584
100000	2796	7	0.990318	het	-0.341723	0.00150624
100000	2796	7	0.990318	het	-0.0723617	0.0231346
100000	2796	7	0.990318	het	-0.0019182	0.0721201
100000	1056	7	0.955804	het	-0.0749605	0.0131244
100000	1056	7	0.955804	het	-0.0334948	0.0301885
100000	1056	7	0.955804	het	-0.341723	0.00150624
100000	1056	7	0.955804	het	-0.15942	0.00606079
100000	1056	7	0.955804	het	-0.159227	0.251666
100000	1175	9	0.903899	het	-0.000467448	0.139968
100000	1175	9	0.903899	het	-0.128056	0.437365
100000	1175	9	0.903899	het	-0.00309095	0.124517
100000	1175	9	0.903899	het	-0.0466248	0.00641296
100000	1175	9	0.903899	het	-0.0818014	0.396087
100000	1175	9	0.903899	het	-0.000686853	0.185255
100000	1175	9	0.903899	het	-0.199904	0.0427455
100000	1175	9	0.903899	het	-0.0068731	0.0937361
100000	710	6	0.857141	het	-0.0184742	0.433797
100000	710	6	0.857141	het	-0.0209967	0.392733
100000	710	6	0.857141	het	-0.479252	0.251004
100000	710	6	0.857141	het	-0.0186269	0.000719047
100000	710	6	0.857141	het	-0.717051	0.0128874
100000	2662	10	0.789802	het	-0.000467448	0.139968
100000	2662	10	0.789802	het	-0.129114	0.0448489
100000	2662	10	0.789802	het	-0.13804	0.205664
100000	2662	10	0.789802	het	-0.336089	0.265072
100000	2662	10	0.789802	het	-0.0117827	0.0605811
100000	2662	10	0.789802	het	-0.66978	0.035378
100000	2662	10	0.789802	het	-0.779248	0.00626482
100000	2662	10	0.789802	het	-0.158616	0.341254
100000	2662	10	0.789802	het	-0.195042	0.113538
100000	3406	6	0.967215	het	-0.277391	0.101327
100000	3406	6	0.967215	het	-0.0748102	0.0160584
100000	3406	6	0.967215	het	-0.567278	0.00152428
100000	3406	6	0.967215	het	-0.0257081	0.088174
100000	3406	6	0.967215	het	-0.000686853	0.185255
100000	799	8	0.591383	het	-0.472201	0.0034459
100000	799	8	0.591383	het	-0.592302	0.413749
100000	799	8	0.591383	het	-0.0789675	0.189228
100000	799	8	0.591383	het	-0.183784	0.0119821
100000	799	8	0.591383	het	-0.831353	0.13423
100000	799	8	0.591383	het	-0.0528645	0.0265265
100000	799	8	0.591383	het	-0.595638	0.167632
100000	629	6	0.979209	het	-0.00568657	0.270534
100000	629	6	0.979209	het	-0.00782627	0.0592714
100000	629	6	0.979209	het	-0.115486	0.126683
100000	629	6	0.979209	het	-0.64838	0.00441678
100000	629	6	0.979209	het	-0.0840023	0.0123758
100000	1565	10	0.95294	het	-0.000467448	0.139968
100000	1565	10	0.95294	het	-0.0186269	0.000719047
